Image,Display,Date,Description,Snapshot
gallery-1.jpg,TRUE,29/07/2026,Photo 1,TRUE
gallery-2.jpg,TRUE,29/07/2026,Photo 2,TRUE
gallery-3.jpg,TRUE,29/07/2026,Photo 3,TRUE
gallery-4.jpg,TRUE,29/07/2026,Photo 4,FALSE
gallery-5.jpg,TRUE,29/07/2026,Photo 5,FALSE
gallery-6.jpg,TRUE,29/07/2026,Photo 6,FALSE
gallery-7.jpg,TRUE,29/07/2026,Photo 7,FALSE
gallery-8.jpg,TRUE,29/07/2026,Photo 8,FALSE
gallery-9.jpg,TRUE,29/07/2026,Photo 9,FALSE
gallery-10.jpg,TRUE,29/07/2026,Photo 10,FALSE
gallery-11.jpg,TRUE,29/07/2026,Photo 11,FALSE
