Date,Venue,Location,Weblink,Details
04/05/2023,The Rise Club Great Barr,Birmingham,#,The Acoustic Lounge Open Mic Night
15/05/2023,B:Music,Birmingham,#,Katie Melua
01/06/2023,The Rise Club Great Barr,Birmingham,#,Acoustic Lounge
15/08/2023,Hill Allotments Association,Sutton Coldfield,#,FREEFALL LIVE @ HILL ALLOTMENT SOCIAL CLUB
17/08/2023,The Station,Birmingham,#,Pete Hyde and The Vieillards
21/08/2023,The Station,Birmingham,#,Muso Monday Jam Night
30/08/2023,The Rhodehouse,Sutton Coldfield,#,WHISKEY & GUITARS JAM NIGHT - Hosted by Gabriella Jones
10/09/2023,The Brasshouse on Broad St. Birmingham,Birmingham,#,Pete Hyde The Vieillards at The Brasshouse Broad St
20/10/2023,Actress and Bishop (official),Birmingham,#,The Steve Gibbons Band
28/10/2023,The Crown in Four Oaks - Ember Inns,Sutton Coldfield,#,The Devanaires play The Crown
29/10/2023,Downstairs at Chas Mann's,Birmingham,#,The Checkmates
03/11/2023,Feathers Inn Lichfield,Lichfield,#,KD and The Dogs Live and Local at The Feathers Lichfield
15/11/2023,The Jam House,Birmingham,#,Thomas Atlas and Guests at The Jam House
17/11/2023,The Quill & Taper at Four Oaks,Sutton Coldfield,#,CARRIEANN HATHAWAY LIVE @The Quill and Taper (OLD BLAKES BARN)
25/02/2024,Downstairs at Chas Mann's,Birmingham,#,The Jo Baldwin Project
10/03/2024,Actress and Bishop (official),Birmingham,#,Pete Hyde & The Vieillards
13/03/2024,Gamecock Inn,Tamworth,#,Vinny’s Acoustic Night
13/03/2024,The Jam House,Birmingham,#,ALBERT LEE Live at the Jam House
23/06/2024,The Brasshouse on Broad St. Birmingham,Birmingham,#,The Vieillards at The Brasshouse
27/06/2024,Tamworth Assembly Rooms,Tamworth,#,Tamworth Assembly Rooms Local Music Night - Sarah Riches & The Dreamcatchers plus support
26/07/2024,Hollywood Social Club,Birmingham,#,Ju Locke and Vince Fleetwood at the Hollywood Club
17/10/2024,The Whippet Inn Micropub,Lichfield,#,Musical Spin The Bottle at The Whippet Inn
22/10/2024,The Rhodehouse,Sutton Coldfield,#,Amigos Open Mic Night at The Rhodehouse
26/10/2024,The Miners Rest,Burntwood,#,Blackjack On Tour - European Leg
10/11/2024,Downstairs at Chas Mann's,Birmingham,#,More Than Blue (Formerly Zoots Suits)
17/11/2024,Boldmere,Sutton Coldfield,#,Boldmere Christmas Lights Switch On
19/11/2024,The Rhodehouse,Sutton Coldfield,#,Amigos Open Mic Night at The Rhodehouse
29/11/2024,Tamworth Assembly Rooms,Tamworth,#,Local Music Night
10/12/2024,123 Parade, Sutton Coldfield,#, United Kingdom
16/12/2024,White Lion, Sutton Coldfield,#,
02/03/2025,The Hub at St Mary's,Lichfield,#,The Bryan Brindley Band - The Hub at St.Marys
16/03/2025,The Fighting Cocks in Moseley,Birmingham,#,the BonnyLou Band live at the Fighting Cocks
21/03/2025,The Three Tuns,Sutton Coldfield,#,Three Tuns Gig
26/03/2025,The Jam House,Birmingham,#,Acoustic Sessions @ The Jam House
02/05/2025,18 Lichfield street, Tamworth,#,
10/05/2025,White Lion, Sutton Coldfield,#,
20/08/2025,Kings Arms Sutton Coldfield,Sutton Coldfield,#,Vinny's Acoustic Night at the Kings Arms
17/09/2025,Corporation Street, B79 7DN Tamworth,#,Tamworth
25/01/2026,Sutton United Football Club,Sutton Coldfield,#,The Brothers Emery LIVE @ Sutton United F.C
26/01/2026,Renato Lounge,Sutton Coldfield,#,Vinny's Acoustic Night at Renato Lounge
01/05/2026,The Station,Kingsheath,#,"The Brothers Emery come to Kings Heath this evening! Join Sean Emery, Sam Atkins, Baz Newey & Myself for a night of Blues, Soul, Rock n Roll. 9pm Start.
Hope to see you ❤️"
01/05/2026,Kings Heath,Birmingham,#,THE BROTHERS EMERY
24/05/2026,The Brasshouse on Broad St. Birmingham,Birmingham,#,The Brothers Emery LIVE @ The Brasshouse
26/06/2026,Joe Joe Jims Bar,Birmingham,#,The Core Band - Disco Classics
04/07/2026,Four Oaks,Sutton Coldfield,#,Lee McSolo Live at the Four Oaks.
18/07/2026,Hare and Hounds,Kingsheath,#,The Brothers Emery at the Hare And Hounds Kingsheath  joined by the talented Chris Emery 🎤🥁 Sam Atkins 🎸 Baz Newey 🎸 from 4pm!!
18/07/2026,Eimear ,Broadstreet ,#,Then a solo gig turned duo at Eimear Broadstreet joined by the talented Tom Davis from 9pm!!
14/08/2026,The Rhodehouse,Sutton Coldifield,#,"On August 14th, we embark on an musical adventure to our hometown of Sutton Coldfield. At The Rhodehouse with its magical walls and air-conditioned halls. There will be music ofc, liquor, and hopefully lots of cake. (Someone bring cake 😉)
As always myself and Chris Emery  are joined by the talented little broski Sam Atkins 🎸 and Uncle Groovemaster Baz Newey 🎸"
